chembl_id,smiles,pchembl_value,pchembl_std,n_records
CHEMBL3880,CC(C)c1cc(-c2ccc(C(N)=O)c(N)c2)c2cccc(-n3cnc(-c4cccnc4)c3)c2n1,6.8,0.0,1
CHEMBL3880,CC(C)c1cc(-c2ccc(C(N)=O)c(N)c2)c2cccc(-n3cnc(-c4cnn(C)c4)c3)c2n1,7.1,0.0,1
CHEMBL3880,CC(C)c1cc(-c2ccc(C(N)=O)c(NC(C)(C)C)c2)c2cccc(-n3cnc(-c4cnn(C)c4)c3)c2n1,6.3,0.0,1
CHEMBL3880,CC(C)c1cc(-c2n[nH]c(=O)n2-c2ccc3c(ccn3C)c2)c(O)cc1O,7.93,0.4541659021400298,4
CHEMBL3880,CC(C)c1cc(-c2nn[nH]c2-c2ccc(S(C)(=O)=O)cc2)c(O)cc1O,6.78,0.0,1
CHEMBL3880,CC(C)c1cc(-c2nn[nH]c2-c2ccc3c(c2)OCCO3)c(O)cc1O,6.77,0.0,1
CHEMBL3880,CC(C)c1cc(-c2nn[nH]c2-c2ccccc2)c(O)cc1O,6.53,0.0,1
CHEMBL3880,CC(C)c1cc(-c2nnn(CC(=O)O)c2-c2ccc(S(C)(=O)=O)cc2)c(O)cc1O,6.73,0.0,1
CHEMBL3880,CC(C)c1cc(-c2nnn(CC(=O)O)c2-c2ccc3c(c2)OCCO3)c(O)cc1O,6.76,0.0,1
CHEMBL3880,CC(C)c1cc(-c2nnn(CC(=O)O)c2-c2cccc(NS(C)(=O)=O)c2)c(O)cc1O,6.12,0.0,1
CHEMBL3880,CC(C)c1cc(-c2nnn(CC(=O)O)c2-c2cccc(S(C)(=O)=O)c2)c(O)cc1O,6.76,0.0,1
CHEMBL3880,CC(C)c1cc(-c2nnn(CC(N)=O)c2-c2ccc(S(C)(=O)=O)cc2)c(O)cc1O,6.87,0.0,1
CHEMBL3880,CC(C)c1cc(-c2nnn(CC(N)=O)c2-c2ccc3c(c2)OCCO3)c(O)cc1O,6.87,0.0,1
CHEMBL3880,CC(C)c1cc(-c2nnn(Cc3ccccc3)c2-c2ccc(S(C)(=O)=O)cc2)c(O)cc1O,7.34,0.0,1
CHEMBL3880,CC(C)c1cc(-c2noc(NC(=O)C3CC3)c2-c2ccc(CN(C(C)C)C(C)C)cc2)c(O)cc1O,7.46,0.0,1
CHEMBL3880,CC(C)c1cc(-c2noc(NC(=O)C3CC3)c2-c2ccc(CN(C)C3CCCCC3)cc2)c(O)cc1O,7.24,0.0,1
CHEMBL3880,CC(C)c1cc(-c2noc(NC(=O)C3CC3)c2-c2ccc(CN(C)CCN(C)C)cc2)c(O)cc1O,7.26,0.0,1
CHEMBL3880,CC(C)c1cc(-c2noc(NC(=O)C3CC3)c2-c2ccc(CN(C)CCc3ccccc3)cc2)c(O)cc1O,6.85,0.0,1
CHEMBL3880,CC(C)c1cc(-c2noc(NC(=O)C3CC3)c2-c2ccc(CN3CCC(N(C)C)CC3)cc2)c(O)cc1O,7.16,0.0,1
CHEMBL3880,CC(C)c1cc(-c2noc(NC(=O)C3CC3)c2-c2ccc(CN3CCC(N4CCCC4)CC3)cc2)c(O)cc1O,7.36,0.0,1
CHEMBL3880,CC(C)c1cc(-c2noc(NC(=O)C3CC3)c2-c2ccc(CN3CCC(N4CCOCC4)CC3)cc2)c(O)cc1O,7.52,0.0,1
CHEMBL3880,CC(C)c1cc(-c2noc(NC(=O)C3CC3)c2-c2ccc(CN3CCCCC3)cc2)c(O)cc1O,7.77,0.0,1
CHEMBL3880,CC(C)c1cc(-c2noc(NC(=O)C3CC3)c2-c2ccc(CN3CCCCC3C)cc2)c(O)cc1O,7.46,0.0,1
CHEMBL3880,CC(C)c1cc(-c2noc(NC(=O)C3CC3)c2-c2ccc(CN3CCN(C)CC3)cc2)c(O)cc1O,7.57,0.0,1
CHEMBL3880,CC(C)c1cc(-c2noc(NC(=O)C3CC3)c2-c2ccc(CN3CCOCC3)cc2)c(O)cc1O,7.57,0.0,1
CHEMBL3880,CC(C)c1cc(-c2noc(NC(=O)C3CC3)c2-c2ccc(CN3CCSCC3)cc2)c(O)cc1O,7.24,0.0,1
CHEMBL3880,CC(C)c1cc(-c2noc(NC(=O)C3CC3)c2-c2ccc(CN3CCc4ccccc4C3)cc2)c(O)cc1O,7.44,0.0,1
CHEMBL3880,CC(C)c1cc(-c2onc(C(=O)NCC(F)(F)F)c2-c2ccc3c(c2)CCN(C)C3)c(O)cc1O,7.22,0.0,1
CHEMBL3880,CC(C)c1cc(-c2onc(C(=O)NCCN(C)C)c2-c2ccc3c(c2)CCN(C)C3)c(O)cc1O,7.22,0.0,1
CHEMBL3880,CC(C)c1cc(-c2onc(C(=O)N[C@@H](C(=O)N3CC(F)(F)C3)C(C)C)c2-c2ccc(CN3CCOCC3)cc2)c(O)cc1O,7.41,0.0,1
CHEMBL3880,CC(C)c1cc(-c2onc(C(=O)N[C@@H](C(=O)N3CCN(C)CC3)C(C)C)c2-c2ccc(CN3CCOCC3)cc2)c(O)cc1O,6.37,0.0,1
CHEMBL3880,CC(C)c1cc(-c2onc(C(=O)N[C@@H](C(=O)NC3(CO)CC3)C(C)C)c2-c2ccc(CN3CCOCC3)cc2)c(O)cc1O,6.97,0.0,1
CHEMBL3880,CC(C)c1cc(-c2onc(C(=O)N[C@@H](C(=O)NCCN3CCOCC3)C(C)C)c2-c2ccc(CN3CCOCC3)cc2)c(O)cc1O,6.69,0.0,1
CHEMBL3880,CC(C)c1cc(-c2onc(C(=O)N[C@@H](C(=O)OC(C)(C)C)C(C)C)c2-c2ccc(CN3CCOCC3)cc2)c(O)cc1O,6.95,0.0,1
CHEMBL3880,CC(C)c1cc(-c2onc(C(N)=O)c2C#CCN2CCOCC2)c(O)cc1O,7.18,0.0,1
